target_screen_name,target_party,target,source,source_party,label,weight
AfDimBundestag,AfD,7,112,AfD,Dirk Spaniel,1
AfDimBundestag,AfD,7,120,AfD,Rainer Kraft,2
AfDimBundestag,AfD,7,124,AfD,Bruno Hollnagel,1
AfDimBundestag,AfD,7,127,AfD,Michael Espendiller,8
AfDimBundestag,AfD,7,134,AfD,Berengar Elsner von Gronow,115
AfDimBundestag,AfD,7,135,AfD,Enrico Komning,1
AfDimBundestag,AfD,7,159,AfD,Frank Pasemann,23
AfDimBundestag,AfD,7,167,AfD,Markus Frohnmaier,5
AfDimBundestag,AfD,7,175,AfD,Gerold Otten,1
AfDimBundestag,AfD,7,178,AfD,Gottfried Curio,21
AfDimBundestag,AfD,7,18,AfD,Alice Weidel,13
AfDimBundestag,AfD,7,185,AfD,Götz Frömming,105
AfDimBundestag,AfD,7,191,AfD,Harald Weyel,7
AfDimBundestag,AfD,7,232,AfD,Joana Cotar,18
AfDimBundestag,AfD,7,247,AfD,Jürgen Braun,44
AfDimBundestag,AfD,7,272,AfD,Kay Gottschalk,39
AfDimBundestag,AfD,7,276,AfD,Jens Kestner,4
AfDimBundestag,AfD,7,292,AfD,Leif-Erik Holm,8
AfDimBundestag,AfD,7,302,AfD,Mariana Harder-Kühnel,6
AfDimBundestag,AfD,7,303,AfD,Martin Reichardt,45
AfDimBundestag,AfD,7,312,AfD,Marc Jongen,13
AfDimBundestag,AfD,7,313,AfD,Marc Bernhard,5
AfDimBundestag,AfD,7,317,AfD,Marcus Bühl,3
AfDimBundestag,AfD,7,329,AfD,Martin Hess,18
AfDimBundestag,AfD,7,330,AfD,Martin Sichert,5
AfDimBundestag,AfD,7,343,AfD,Rüdiger Lucassen,4
AfDimBundestag,AfD,7,367,AfD,Andreas Mrosek,4
AfDimBundestag,AfD,7,381,AfD,Nicole Höchst,2
AfDimBundestag,AfD,7,389,AfD,Norbert Kleinwächter,1
AfDimBundestag,AfD,7,411,AfD,Peter Boehringer,4
AfDimBundestag,AfD,7,412,AfD,Peter Felser,15
AfDimBundestag,AfD,7,418,AfD,Petr Bystron,18
AfDimBundestag,AfD,7,420,AfD,Jürgen Pohl,9
AfDimBundestag,AfD,7,424,AfD,Roland Hartwig,6
AfDimBundestag,AfD,7,431,AfD,René Springer,53
AfDimBundestag,AfD,7,432,AfD,Martin Renner,355
AfDimBundestag,AfD,7,442,AfD,Sebastian Münzenmaier,37
AfDimBundestag,AfD,7,45,AfD,Beatrix von Storch,36
AfDimBundestag,AfD,7,451,AfD,Jörg Schneider,461
AfDimBundestag,AfD,7,468,AfD,Stephan Brandner,84
AfDimBundestag,AfD,7,474,AfD,Steffen Kotré,5
AfDimBundestag,AfD,7,48,AfD,Bernd Baumann,6
AfDimBundestag,AfD,7,495,AfD,Thomas Seitz,6
AfDimBundestag,AfD,7,499,AfD,Thomas Ehrhorn,30
AfDimBundestag,AfD,7,507,AfD,Tino Chrupalla,30
AfDimBundestag,AfD,7,518,AfD,Udo Hemmelgarn,119
AfDimBundestag,AfD,7,531,AfD,Ulrike Schielke-Ziesing,34
AfDimBundestag,AfD,7,550,AfD,Uwe Witt,44
AfDimBundestag,AfD,7,552,AfD,Wolfgang Wiehle,2
AfDimBundestag,AfD,7,6,AfD,AfD,57
AfDimBundestag,AfD,7,8,AfD,Stephan Protschka,49
AfDimBundestag,AfD,7,87,AfD,Christian Wirth,6
AfDProtschka,AfD,8,178,AfD,Gottfried Curio,1
AfDProtschka,AfD,8,185,AfD,Götz Frömming,1
AfDProtschka,AfD,8,191,AfD,Harald Weyel,1
AfDProtschka,AfD,8,232,AfD,Joana Cotar,1
AfDProtschka,AfD,8,292,AfD,Leif-Erik Holm,1
AfDProtschka,AfD,8,367,AfD,Andreas Mrosek,1
AfDProtschka,AfD,8,412,AfD,Peter Felser,1
AfDProtschka,AfD,8,420,AfD,Jürgen Pohl,1
AfDProtschka,AfD,8,422,AfD,Lothar Maier,1
AfDProtschka,AfD,8,424,AfD,Roland Hartwig,2
AfDProtschka,AfD,8,432,AfD,Martin Renner,21
AfDProtschka,AfD,8,442,AfD,Sebastian Münzenmaier,1
AfDProtschka,AfD,8,45,AfD,Beatrix von Storch,2
