label,id,party
Sevim Dağdelen,74,The Left
Andreas Rimkus,389,SPD
Detlef Müller,323,SPD
Katja Leikert,270,CDU
Anja Karliczek,208,CDU
Dorothee Bär,16,CSU
Andreas Steier,468,CDU
Stefan Rouenhoff,398,CDU
Nicole Gohlke,126,The Left
Niema Movassat,317,The Left
Caren Lay,264,The Left
Marco Bülow,61,Die PARTEI (ex-SPD)
Manuela Rottmann,397,Greens
Katja Suding,481,FDP
Saskia Esken,97,SPD
Michael Meister,302,CDU
Christian Hirte,176,CDU
Antje Tillmann,491,CDU
Johannes Steiniger,472,CDU
Armin Schuster,437,CDU
Patrick Schnieder,428,CDU
Stefan Müller,327,CSU
Marian Wendt,525,CDU
Marc Henrichmann,168,CDU
Lars Castellucci,66,SPD
Nadine Schön,429,CDU
Paul Ziemiak,541,CDU
Erwin Rüddel,399,CDU
Stefan Kaufmann,211,CDU
Norbert Müller,325,The Left
Sabine Leidig,269,The Left
Hubertus Zdebel,539,The Left
Markus Töns,494,SPD
Achim Post,374,SPD
Sönke Rix,390,SPD
Sabine Dittmar,81,SPD
Katja Mast,297,SPD
Dirk Wiese,533,SPD
Timon Gremmels,130,SPD
Christian Lange,260,SPD
Marja-Liisa Völlers,506,SPD
Kerstin Griese,131,SPD
Aydan Özoğuz,355,SPD
Rita Schwarzelühr-Sutter,441,SPD
Sebastian Hartmann,150,SPD
Gabriele Katzmarek,210,SPD
Michelle Müntefering,331,SPD
Ute Vogt,505,SPD
Nils Schmid,421,SPD
Michael Roth,395,SPD
Johannes Schraps,430,SPD
Leni Breymaier,53,SPD
Matthias Büttner,64,AfD
Corinna Miazga,305,AfD
Hartmut Ebbing,89,FDP
Matthias Höhn,185,The Left
Fritz Felgentreu,103,SPD
Svenja Stadler,460,SPD
Matthias Hauer,153,CDU
Martina Renner,385,The Left
Klaus Mindrup,308,SPD
Frank Schwabe,438,SPD
Peter Tauber,484,CDU
Bernd Riexinger,388,The Left
Niels Annen,9,SPD
Carsten Schneider,425,SPD
Amira Mohamed Ali,309,The Left
Christian Petry,365,SPD
Steffi Lemke,271,Greens
Bettina Hoffmann,182,Greens
Thomas Hacker,141,FDP
Frank Sitta,450,FDP
Christian Lindner,276,FDP
Lukas Köhler,233,FDP
Katharina Willkomm,535,FDP
Christian Jung,199,FDP
