label,party,id
Jürgen Trittin,Greens,497
Jutta Krellmann,The Left,245
Kai Gehring[210],Greens,121
Kai Wegner,CDU,518
Kai Whittaker,CDU,530
Karamba Diaby,SPD,79
Karin Maag,CDU,286
Karl Lauterbach,SPD,263
Karl-Heinz Brunner,SPD,56
Karlheinz Busen,FDP,63
Karsten Klein,FDP,223
Karsten Möring,CDU,315
Katharina Dröge,Greens,86
Katharina Willkomm,FDP,535
Kathrin Vogler,The Left,504
Katja Dörner,Greens,84
Katja Hessel,FDP,174
Katja Keul,Greens,216
Katja Kipping,The Left,221
Katja Leikert,CDU,270
Katja Mast,SPD,297
Katja Suding,FDP,481
Katrin Göring-Eckardt,Greens,127
Katrin Helling-Plahr,FDP,164
Katrin Staffler,CSU,461
Katrin Werner,The Left,526
Kay Gottschalk,AfD,129
Kerstin Griese,SPD,131
Kirsten Kappert-Gonther,Greens,206
Kirsten Tackmann,The Left,482
Klaus Ernst,The Left,95
Klaus Mindrup,SPD,308
Klaus-Dieter Gröhler,CDU,133
Konstantin Kuhle,FDP,251
Konstantin von Notz,Greens,343
Kordula Schulz-Asche,Greens,436
Kristina Nordt,CDU,342
Lars Castellucci,SPD,66
Lars Klingbeil,SPD,227
Leif-Erik Holm,AfD,187
Leni Breymaier,SPD,53
Linda Teuteberg,FDP,485
Lisa Badum,Greens,13
Lisa Paus,Greens,361
Lorenz Gösta Beutin,The Left,34
Lothar Binding,SPD,38
Lukas Köhler,FDP,233
Mahmut Özdemir,SPD,354
Maik Beermann,CDU,29
Manfred Todtenhausen,FDP,492
Manuel Höferlin,FDP,180
Manuel Sarrazin,Greens,405
Manuela Rottmann,Greens,397
Marc Bernhard,AfD,32
Marc Biadacz,CDU,36
Marc Henrichmann,CDU,168
Marc Jongen,AfD,198
Marcel Emmerich,Greens,93
Marco Bülow,Die PARTEI (ex-SPD),61
Marco Buschmann,FDP,62
Marco Wanderwitz,CDU,515
Marcus Bühl,AfD,59
Marcus Faber,FDP,99
Marcus Weinberg,CDU,521
Margarete Bause,Greens,25
Margit Stumpp,Greens,480
Maria Klein-Schmeink,Greens,225
Marian Wendt,CDU,525
Mariana Harder-Kühnel,AfD,148
Marianne Schieder,SPD,414
Marie-Agnes Strack-Zimmermann,FDP,476
Mario Brandenburg,FDP,43
Mario Mieruch,LKR (ex AfD),306
Marja-Liisa Völlers,SPD,506
Markus Frohnmaier,AfD,114
Markus Grübel,CDU,136
Markus Herbrand,FDP,169
Markus Kurth,Greens,257
Markus Paschke,SPD,357
Markus Töns,SPD,494
Markus Tressel,Greens,496
Markus Uhl],CDU,498
Martin Hess,AfD,173
Martin Neumann,FDP,336
Martin Patzelt,CDU,359
Martin Reichardt,AfD,382
Martin Renner,AfD,384
Martin Rosemann,SPD,392
Martin Schulz,SPD,434
Martin Sichert,AfD,446
Martina Renner,The Left,385
Martina Stamm-Fibich,SPD,462
Mathias Stein,SPD,469
Matthias Büttner,AfD,64
Matthias Gastel,Greens,118
Matthias Hauer,CDU,153
Matthias Höhn,The Left,185
Matthias Nölke,FDP,340
Matthias Seestern-Pauly,FDP,443
Matthias W. Birkwald,The Left,39
Mechthild Heil,CDU,159
Metin Hakverdi,SPD,145
Michael Espendiller,AfD,98
Michael Frieser,CSU,113
Michael Georg Link,FDP,278
Michael Grosse-Brömer,CDU,134
Michael Hennrich,CDU,167
Michael Kießling,CSU,219
Michael Kuffer,CSU,250
Michael Meister,CDU,302
Michael Roth,SPD,395
Michael Schrodi,SPD,433
Michael Theurer,FDP,486
Michael Thews,SPD,487
Michael von Abercron,CDU,1
Michel Brandt,The Left,46
Michelle Müntefering,SPD,331
Monika Lazar,Greens,265
Nadine Schön,CDU,429
Nicole Bauer,FDP,23
Nicole Gohlke,The Left,126
Nicole Höchst,AfD,179
Nicole Westig,FDP,527
Niels Annen,SPD,9
Niema Movassat,The Left,317
Nils Schmid,SPD,421
Nina Scheer,SPD,412
Nina Warken,CDU,516
Norbert Kleinwächter,AfD,226
Norbert Müller,The Left,325
Norbert Röttgen,CDU,396
Olaf in der Beek,FDP,28
Olaf Scholz,SPD,557
Olav Gutting,CDU,139
Oliver Kaczmarek,SPD,203
Oliver Krischer,Greens,248
Oliver Luksic,FDP,284
Omid Nouripour,Greens,344
Ottmar von Holtz,Greens,188
Otto Fricke,FDP,112
Pascal Kober,FDP,230
Pascal Meiser,The Left,301
Patrick Schnieder,CDU,428
Patrick Sensburg,CDU,445
Paul Ziemiak,CDU,541
Peter Altmaier,CDU,7
Peter Beyer,CDU,35
Peter Boehringer,AfD,41
Peter Felser,AfD,104
Peter Heidt,FDP,157
Peter Stein,CDU,470
Peter Tauber,CDU,484
Petr Bystron,AfD,65
Petra Pau,The Left,360
Petra Sitte,The Left,451
Rainer Kraft,AfD,243
Ralph Brinkhaus,CDU,54
Reinhard Brandl,CSU,44
Reinhard Houben,FDP,189
Renata Alt,FDP,5
Renate Künast,Greens,256
René Springer,AfD,459
Rita Schwarzelühr-Sutter,SPD,441
Roderich Kiesewetter,CDU,218
Roland Hartwig,AfD,151
Ronja Kemmer,CDU,213
Roy Kühne,CDU,254
Rüdiger Kruse,CDU,249
Sabine Dittmar,SPD,81
Sabine Leidig,The Left,269
Sahra Wagenknecht,The Left,511
Sandra Bubendorfer-Licht,FDP,57
Sandra Weeser,FDP,517
Sarah Ryglewski,SPD,403
Saskia Esken,SPD,97
Saskia Ludwig,CDU,283
Sebastian Hartmann,SPD,150
Sebastian Münzenmaier,AfD,332
Sebastian Steineke,CDU,471
Sepp Müller,CDU,326
Sevim Dağdelen,The Left,74
Siemtje Möller,SPD,313
Simone Barrientos,The Left,19
Sonja Steffen,SPD,465
Sönke Rix,SPD,390
Sören Bartol,SPD,20
Sören Pellmann,The Left,362
SPD,SPD,545
SPD Bundestag,SPD,551
Stefan Gelbhaar,Greens,123
Stefan Kaufmann,CDU,211
Stefan Liebich,The Left,273
Stefan Müller,CSU,327
Stefan Rouenhoff,CDU,398
Stefan Schmidt,Greens,423
Stefan Schwartze,SPD,439
Steffen Bilger,CDU,37
Steffen Kotré,AfD,242
Steffi Lemke,Greens,271
Stephan Brandner,AfD,45
Stephan Kühn,Greens,253
Stephan Pilsinger,CSU,368
Stephan Protschka,AfD,377
Stephan Thomae,FDP,488
Susanne Ferschl,The Left,105
Sven Lehmann,Greens,267
Sven-Christian Kindler,Greens,220
Svenja Stadler,SPD,460
Sylvia Gabelmann,The Left,116
Sylvia Pantel,CDU,356
Tankred Schipanski,CDU,419
Thomas Bareiß,CDU,18
Thomas Ehrhorn,AfD,91
Thomas Erndl,CSU,94
Thomas Gebhart,CDU,120
Thomas Hacker,FDP,141
Thomas Heilmann,CDU,160
Thomas Hitschler,SPD,178
Thomas Jarzombek,CDU,195
Thomas Oppermann,SPD,347
Thomas Sattelberger,FDP,406
Thomas Seitz,AfD,444
Thomas Silberhorn,CSU,448
Thorsten Frei,CDU,110
Till Mansmann,FDP,293
Timon Gremmels,SPD,130
Tino Chrupalla,AfD,69
Tino Sorge,CDU,455
Tobias Lindner,Greens,277
Tobias Peterka,AfD,364
Tobias Pflüger,The Left,367
Torbjörn Kartes,CDU,209
Torsten Herbst,FDP,170
Udo Hemmelgarn,AfD,166
Uli Grötsch,SPD,135
Ulla Ihnen,FDP,192
Ulla Jelpke,The Left,196
Ulli Nissen,SPD,339
Ulrich Freese,SPD,109
Ulrich Lechte,FDP,266
